All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,4563,15.17,14.16,1.01,1,0,,* 1) N-ZAP '85 (15.17) 1.01,N-ZAP '85,1189,14.78,1,0,,N-ZAP '85,1013,15.22,1,0,,N-ZAP '85,1484,16.49,1,0,,N-ZAP '85,877,13.76,1,0,,Splashdown,7570,25.17,,Suction Bomb,7617,25.33,,N-ZAP '85,2987,16.98,1,0
Splat Roller,2,2373,7.89,8.01,-0.12,2,0,,* 2) Splat Roller (7.89) -0.12,Forge Splattershot Pro,745,9.26,4,2,,Splat Roller,572,8.59,2,0,,Forge Splattershot Pro,654,7.27,4,2,,Splat Roller,552,8.66,2,0,,Ink Armor,6801,22.62,,Burst Bomb,4230,14.07,,Forge Splattershot Pro,1368,7.78,4,2
Splattershot,3,2149,7.15,7.93,-0.78,3,0,,* 3) Splattershot (7.15) -0.779999999999999,Splat Roller,660,8.2,2,-1,,Splattershot,510,7.66,3,0,,Splattershot,637,7.08,3,0,,Splattershot,451,7.08,3,0,,Sting Ray,3194,10.62,,Splat Bomb,3965,13.19,,Splat Roller,1263,7.18,2,-1
Forge Splattershot Pro,4,2059,6.85,5.7,1.15,4,0,,* 4) Forge Splattershot Pro (6.85) 1.15,Splattershot,551,6.85,3,-1,,Blaster,379,5.69,5,1,,Splat Roller,589,6.54,2,-2,,Blaster,427,6.7,5,1,,Inkjet,2602,8.65,,Curling Bomb,3821,12.71,,Blaster,1262,7.17,5,1
Blaster,5,1750,5.82,5.37,0.45,5,0,,* 5) Blaster (5.82) 0.45,Blaster,421,5.23,5,0,,Forge Splattershot Pro,368,5.53,4,-1,,Blaster,523,5.81,5,0,,Forge Splattershot Pro,292,4.58,4,-1,,Bubble Blower,2572,8.55,,Autobomb,2416,8.03,,Splattershot,1196,6.8,3,-2
Tri-Slosher,6,1027,3.42,3.11,0.31,7,1,,* 6) Tri-Slosher (3.42) 0.31,Tri-Slosher,245,3.05,6,0,,Tentatek Splattershot,286,4.3,7,1,,Tri-Slosher,366,4.07,6,0,,Splat Charger,266,4.17,8,2,,Tenta Missiles,2224,7.4,,Toxic Mist,2294,7.63,,Tri-Slosher,637,3.62,6,0
Tentatek Splattershot,7,926,3.08,3.64,-0.56,6,-1,,* 7) Tentatek Splattershot (3.08) -0.56,Tentatek Splattershot,225,2.8,7,0,,Sploosh-o-matic,250,3.76,10,3,,Rapid Blaster,309,3.43,9,2,,Sloshing Machine,216,3.39,11,4,,Ink Storm,2072,6.89,,Ink Mine,1473,4.9,,Rapid Blaster,580,3.3,9,2
Splat Charger,8,850,2.83,3.05,-0.22,8,0,,* 8) Splat Charger (2.83) -0.22,Sploosh-o-matic,222,2.76,10,2,,Splat Charger,229,3.44,8,0,,Tentatek Splattershot,233,2.59,7,-1,,Tri-Slosher,213,3.34,6,-2,,Baller,1399,4.65,,Point Sensor,1204,4,,Tentatek Splattershot,575,3.27,7,-1
Rapid Blaster,9,797,2.65,2.11,0.54,12,3,,* 9) Rapid Blaster (2.65) 0.54,N-ZAP '89,179,2.23,13,4,,Tri-Slosher,203,3.05,6,-3,,Splat Charger,205,2.28,8,-1,,Tentatek Splattershot,182,2.86,7,-2,,Splat-Bomb Launcher,830,2.76,,Sprinkler,1134,3.77,,Splat Charger,517,2.94,8,-1
Sploosh-o-matic,10,761,2.53,2.46,0.07,10,0,,* 10) Sploosh-o-matic (2.53) 0.0699999999999998,Rapid Blaster,174,2.16,9,-1,,Sloshing Machine,180,2.7,11,1,,Sloshing Machine,179,1.99,11,1,,Rapid Blaster,160,2.51,9,-1,,Suction-Bomb Launcher,652,2.17,,Squid Beakon,982,3.27,,Sloshing Machine,511,2.9,11,1
Sloshing Machine,11,726,2.41,2.72,-0.31,9,-2,,,Splattershot Jr.,159,1.98,14,3,,Rapid Blaster,154,2.31,9,-2,,Range Blaster,170,1.89,12,1,,Range Blaster,148,2.32,12,1,,Curling-Bomb Launcher,156,0.52,,Splash Wall,936,3.11,,Range Blaster,384,2.18,12,1
Range Blaster,12,574,1.91,2.38,-0.47,11,-1,,,Octobrush Nouveau,152,1.89,21,9,,Range Blaster,124,1.86,12,0,,Sploosh-o-matic,163,1.81,10,-2,,Splatterscope,132,2.07,18,6,,,,,,,,,,Sploosh-o-matic,347,1.97,10,-2
N-ZAP '89,13,542,1.8,1.77,0.03,15,2,,,Sloshing Machine,151,1.88,11,-2,,Splatterscope,116,1.74,18,5,,Firefin Splat Charger,155,1.72,32,19,,Sploosh-o-matic,126,1.98,10,-3,,,,,,,,,,Splattershot Jr.,300,1.71,14,1
