All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2247,8.72,9.75,-1.03,1,0
Splattershot,2,1892,7.34,7.77,-0.43,2,0
Blaster,3,1775,6.89,7.16,-0.27,3,0
Splat Roller,4,1670,6.48,6.55,-0.07,4,0
Enperry Splat Dualies,5,967,3.75,3.48,0.27,5,0
Splat Charger,6,855,3.32,3.14,0.18,6,0
Tentatek Splattershot,7,833,3.23,2.25,0.98,11,4
Heavy Splatling,8,814,3.16,3.01,0.15,7,-1
Forge Splattershot Pro,9,733,2.84,3.01,-0.17,8,-1
Dapple Dualies Nouveau,10,595,2.31,2.76,-0.45,9,-1
Splattershot Jr.,11,552,2.14,2.17,-0.03,12,1
Splat Brella,12,538,2.09,2.12,-0.03,13,1
Slosher Deco,13,534,2.07,1.69,0.38,18,5
.52 Gal Deco,14,471,1.83,1.81,0.02,15,1
Sploosh-o-matic,15,470,1.82,1.8,0.02,16,1
Tri-Slosher,16,466,1.81,1.84,-0.03,14,-2
Range Blaster,17,438,1.70,1.72,-0.02,17,0
Dualie Squelchers,18,429,1.66,1.48,0.18,21,3
Sloshing Machine Neo,19,405,1.57,2.74,-1.17,10,-9
Rapid Blaster,20,389,1.51,1.59,-0.08,19,-1
Dapple Dualies,21,369,1.43,1.46,-0.03,23,2
Carbon Roller,22,362,1.40,1.21,0.19,27,5
N-ZAP '89,23,362,1.40,1.47,-0.07,22,-1
Sloshing Machine,24,344,1.33,1.56,-0.23,20,-4
Splatterscope,25,342,1.33,1.41,-0.08,24,-1
Gold Dynamo Roller,26,295,1.14,1.12,0.02,30,4
Clash Blaster,27,292,1.13,0.79,0.34,35,8
Splattershot Pro,28,285,1.11,1.09,0.02,31,3
Custom Jet Squelcher,29,284,1.10,0.97,0.13,32,3
Luna Blaster,30,280,1.09,1.21,-0.12,28,-2
Heavy Splatling Deco,31,279,1.08,1.26,-0.18,25,-6
Splat Dualies,32,278,1.08,1.13,-0.05,29,-3
Octobrush,33,278,1.08,1.25,-0.17,26,-7
Inkbrush,34,262,1.02,0.95,0.07,33,-1
Octobrush Nouveau,35,254,0.99,0.82,0.17,34,-1
Dynamo Roller,36,211,0.82,0.72,0.10,36,0
Mini Splatling,37,198,0.77,0.68,0.09,38,1
.52 Gal,38,191,0.74,0.64,0.10,41,3
Custom Blaster,39,181,0.70,0.68,0.02,39,0
Rapid Blaster Deco,40,167,0.65,0.63,0.02,42,2
Krak-On Splat Roller,41,154,0.60,0.42,0.18,51,10
Classic Squiffer,42,152,0.59,0.5,0.09,48,6
Splash-o-matic,43,138,0.54,0.69,-0.15,37,-6
Slosher,44,137,0.53,0.6,-0.07,43,-1
Hydra Splatling,45,137,0.53,0.41,0.12,52,7
E-liter 4K Scope,46,136,0.53,0.51,0.02,46,0
Jet Squelcher,47,134,0.52,0.38,0.14,53,6
H-3 Nozzlenose,48,133,0.52,0.22,0.30,65,17
Firefin Splat Charger,49,132,0.51,0.53,-0.02,44,-5
Tenta Brella,50,130,0.50,0.38,0.12,54,4
Aerospray RG,51,129,0.50,0.32,0.18,58,7
Rapid Blaster Pro,52,118,0.46,0.49,-0.03,49,-3
Squeezer,53,115,0.45,0.5,-0.05,47,-6
.96 Gal Deco,54,114,0.44,0.67,-0.23,40,-14
Custom Splattershot Jr.,55,113,0.44,0.52,-0.08,45,-10
Luna Blaster Neo,56,111,0.43,,,,
Aerospray MG,57,102,0.40,0.34,0.06,55,-2
Firefin Splatterscope,58,102,0.40,0.32,0.08,59,1
Bamboozler 14 Mk I,59,98,0.38,0.42,-0.04,50,-9
Inkbrush Nouveau,60,94,0.36,0.34,0.02,56,-4
.96 Gal,61,80,0.31,0.34,-0.03,57,-4
Undercover Brella,62,75,0.29,0.27,0.02,60,-2
L-3 Nozzlenose D,63,73,0.28,0.23,0.05,63,0
L-3 Nozzlenose,64,72,0.28,0.23,0.05,62,-2
Custom Goo Tuber,65,65,0.25,0.21,0.04,66,1
E-liter 4K,66,64,0.25,0.25,0.00,61,-5
Glooga Dualies,67,59,0.23,0.2,0.03,67,0
Foil Flingza Roller,68,54,0.21,0.18,0.03,68,0
Goo Tuber,69,49,0.19,0.18,0.01,69,0
Custom E-liter 4K Scope,70,46,0.18,0.17,0.01,70,0
Flingza Roller,71,44,0.17,0.22,-0.05,64,-7
Custom E-liter 4K,72,33,0.13,0.08,0.05,71,-1
