All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
N-ZAP '85,1,1502,6.35,7.71,-1.35,1,0,,1) N-ZAP '85 (6.35) -1.35
Splat Roller,2,1402,5.93,6.44,-0.51,2,0,,2) Splat Roller (5.93) -0.51
Splattershot,3,1090,4.61,5.35,-0.74,3,0,,3) Splattershot (4.61) -0.74
Blaster,4,1013,4.28,5.09,-0.81,4,0,,4) Blaster (4.28) -0.81
Enperry Splat Dualies,5,926,3.92,3.88,0.03,5,0,,5) Enperry Splat Dualies (3.92) 0.03
Tentatek Splattershot,6,788,3.33,3.73,-0.40,6,0,,6) Tentatek Splattershot (3.33) -0.40
Dapple Dualies Nouveau,7,711,3.01,3.39,-0.38,8,1,,7) Dapple Dualies Nouveau (3.01) -0.38
Heavy Splatling,8,687,2.91,3.68,-0.77,7,-1,,8) Heavy Splatling (2.91) -0.77
Splat Charger,9,626,2.65,3.03,-0.38,9,0,,9) Splat Charger (2.65) -0.38
Forge Splattershot Pro,10,544,2.30,2.54,-0.24,11,1,,10) Forge Splattershot Pro (2.30) -0.24
Slosher Deco,11,532,2.25,2.75,-0.50,10,-1,,
Splattershot Jr.,12,484,2.05,2.10,-0.06,13,1,,
Dualie Squelchers,13,482,2.04,1.99,0.04,14,1,,
Neo Splash-o-matic,14,473,2.00,,,,,,
Custom Range Blaster,15,458,1.94,,,,,,
Clash Blaster Neo,16,419,1.77,2.11,-0.34,12,-4,,
Gold Dynamo Roller,17,389,1.64,1.08,0.57,30,13,,
Range Blaster,18,358,1.51,1.98,-0.47,15,-3,,
Sploosh-o-matic,19,357,1.51,1.59,-0.08,18,-1,,
Splatterscope,20,337,1.43,1.58,-0.16,19,-1,,
Tri-Slosher,21,334,1.41,1.60,-0.18,17,-4,,
N-ZAP '89,22,326,1.38,1.29,0.08,25,3,,
Splat Brella,23,322,1.36,1.22,0.14,27,4,,
Rapid Blaster,24,319,1.35,1.17,0.18,28,4,,
Clash Blaster,25,317,1.34,1.43,-0.09,21,-4,,
Custom Jet Squelcher,26,314,1.33,1.40,-0.08,22,-4,,
Octobrush,27,313,1.32,1.35,-0.02,23,-4,,
Dapple Dualies,28,308,1.30,1.26,0.04,26,-2,,
Carbon Roller,29,306,1.29,1.34,-0.05,24,-5,,
Custom Blaster,30,294,1.24,1.16,0.08,29,-1,,
Splat Dualies,31,288,1.22,0.94,0.28,33,2,,
.52 Gal Deco,32,288,1.22,1.53,-0.31,20,-12,,
Tri-Slosher Nouveau,33,265,1.12,1.91,-0.79,16,-17,,
Heavy Splatling Deco,34,252,1.07,0.88,0.19,35,1,,
Inkbrush,35,248,1.05,0.91,0.14,34,-1,,
Dynamo Roller,36,248,1.05,0.83,0.21,36,0,,
Sloshing Machine,37,247,1.04,1.00,0.04,31,-6,,
Splattershot Pro,38,242,1.02,0.97,0.05,32,-6,,
Luna Blaster,39,202,0.85,0.80,0.05,37,-2,,
Rapid Blaster Deco,40,193,0.82,0.76,0.06,39,-1,,
Rapid Blaster Pro,41,187,0.79,0.52,0.27,50,9,,
Dark Tetra Dualies,42,183,0.77,0.73,0.04,40,-2,,
.52 Gal,43,182,0.77,0.71,0.06,41,-2,,
Sloshing Machine Neo,44,180,0.76,0.70,0.06,42,-2,,
Zink Mini Splatling,45,176,0.74,0.79,-0.04,38,-7,,
Octobrush Nouveau,46,172,0.73,0.67,0.06,44,-2,,
.96 Gal Deco,47,170,0.72,0.23,0.49,68,21,,
Tenta Brella,48,158,0.67,0.49,0.17,52,4,,
Custom Splattershot Jr.,49,139,0.59,0.48,0.10,53,4,,
Hydra Splatling,50,138,0.58,0.57,0.01,48,-2,,
H-3 Nozzlenose D,51,136,0.58,0.60,-0.03,47,-4,,
Bamboozler 14 Mk I,52,133,0.56,0.52,0.04,51,-1,,
Krak-On Splat Roller,53,131,0.55,0.61,-0.05,46,-7,,
Splash-o-matic,54,127,0.54,0.64,-0.10,45,-9,,
Classic Squiffer,55,124,0.52,0.68,-0.16,43,-12,,
E-liter 4K Scope,56,124,0.52,0.44,0.09,55,-1,,
Glooga Dualies Deco,57,114,0.48,,,,,,
Slosher,58,114,0.48,0.46,0.02,54,-4,,
Jet Squelcher,59,106,0.45,0.43,0.01,56,-3,,
Sorella Brella,60,106,0.45,0.57,-0.12,49,-11,,
Aerospray MG,61,105,0.44,0.40,0.05,60,-1,,
Firefin Splat Charger,62,101,0.43,0.38,0.05,61,-1,,
Inkbrush Nouveau,63,100,0.42,0.31,0.11,62,-1,,
Firefin Splatterscope,64,100,0.42,0.24,0.19,66,2,,
Glooga Dualies,65,99,0.42,0.23,0.19,67,2,,
Mini Splatling,66,84,0.36,0.43,-0.07,57,-9,,
Squeezer,67,82,0.35,0.22,0.13,69,2,,
Aerospray RG,68,81,0.34,0.41,-0.07,59,-9,,
Foil Squeezer,69,80,0.34,,,,,,
E-liter 4K,70,80,0.34,0.42,-0.08,58,-12,,
.96 Gal,71,74,0.31,0.28,0.03,64,-7,,
New Squiffer,72,69,0.29,,,,,,
Flingza Roller,73,64,0.27,0.20,0.07,71,-2,,
L-3 Nozzlenose D,74,60,0.25,0.21,0.05,70,-4,,
Foil Flingza Roller,75,56,0.24,0.29,-0.06,63,-12,,
Custom Goo Tuber,76,53,0.22,0.19,0.03,73,-3,,
L-3 Nozzlenose,77,50,0.21,0.15,0.06,74,-3,,
Undercover Brella,78,48,0.20,0.24,-0.04,65,-13,,
Neo Sploosh-o-matic,79,40,0.17,0.20,-0.03,72,-7,,
Custom E-liter 4K Scope,80,31,0.13,0.10,0.03,78,-2,,
Custom E-liter 4K,81,25,0.11,0.12,-0.02,76,-5,,
Luna Blaster Neo,82,24,0.10,0.07,0.03,79,-3,,
Goo Tuber,83,23,0.10,0.14,-0.04,75,-8,,
H-3 Nozzlenose,84,15,0.06,0.12,-0.06,77,-7,,
