All Modes,,,,,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,
Weapon Name,,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct
Splattershot,1,2784,9.41,14.62,-5.21,1,0,,* 1) Splattershot (9.41) -5.21,Splattershot,935,9.99,1,0,,Splattershot,932,9.28,1,0,,Splattershot,917,9.02,1,0,,Splashdown,6654,22.5,,Splat Bomb,5462,18.47
N-ZAP '85,2,2294,7.76,6.93,0.83,3,1,,* 2) N-ZAP '85 (7.76) 0.83,Splat Roller,753,8.04,3,1,,N-ZAP '85,751,7.47,2,0,,N-ZAP '85,823,8.1,2,0,,Ink Storm,5441,18.4,,Suction Bomb,5179,17.51
Splat Roller,3,2195,7.42,7.12,0.3,2,-1,,* 3) Splat Roller (7.42) 0.3,N-ZAP '85,720,7.69,2,-1,,Splat Brella,703,7,6,3,,Splat Roller,812,7.99,3,0,,Ink Armor,4480,15.15,,Burst Bomb,4551,15.39
Tentatek Splattershot,4,1935,6.54,3.59,2.95,7,3,,* 4) Tentatek Splattershot (6.54) 2.95,Tentatek Splattershot,709,7.57,4,0,,Splat Roller,630,6.27,3,-1,,Tentatek Splattershot,632,6.22,4,0,,Sting Ray,4223,14.28,,Curling Bomb,3715,12.56
Range Blaster,5,1707,5.77,6.34,-0.57,4,-1,,* 5) Range Blaster (5.77) -0.57,Range Blaster,516,5.51,5,0,,Tentatek Splattershot,594,5.91,4,-1,,Range Blaster,629,6.19,5,0,,Inkjet,3420,11.56,,Autobomb,2948,9.97
Splat Brella,6,1687,5.7,6.15,-0.45,5,-1,,* 6) Splat Brella (5.7) -0.45,Splat Brella,460,4.91,6,0,,Range Blaster,562,5.59,5,-1,,Splat Brella,524,5.16,6,0,,Tenta Missiles,1624,5.49,,Sprinkler,2573,8.7
Sloshing Machine,7,1183,4,4.76,-0.76,6,-1,,* 7) Sloshing Machine (4) -0.76,Sloshing Machine,351,3.75,7,0,,Tri-Slosher,344,3.42,9,2,,Sloshing Machine,488,4.8,7,0,,Baller,1495,5.06,,Point Sensor,1843,6.23
Splat Charger,8,1009,3.41,3.41,0,8,0,,* 8) Splat Charger (3.41) 0,Splat Charger,338,3.61,8,0,,Sloshing Machine,344,3.42,7,-1,,Splat Charger,372,3.66,8,0,,Bubble Blower,997,3.37,,Ink Mine,1309,4.43
Tri-Slosher,9,932,3.15,1.19,1.96,22,13,,* 9) Tri-Slosher (3.15) 1.96,Sploosh-o-matic,305,3.26,12,3,,Splattershot Pro,334,3.32,10,1,,Tri-Slosher,338,3.33,9,0,,Splat-Bomb Launcher,583,1.97,,Toxic Mist,994,3.36
Splattershot Pro,10,836,2.83,3.05,-0.22,9,-1,,* 10) Splattershot Pro (2.83) -0.22,Tri-Slosher,250,2.67,9,-1,,Splat Charger,299,2.98,8,-2,,Luna Blaster,300,2.95,13,3,,Suction-Bomb Launcher,550,1.86,,Squid Beakon,627,2.12
Forge Splattershot Pro,11,695,2.35,1.61,0.74,16,5,,,Splattershot Pro,248,2.65,10,-1,,Forge Splattershot Pro,255,2.54,11,0,,Splattershot Pro,254,2.5,10,-1,,Curling-Bomb Launcher,105,0.36,,Splash Wall,371,1.25
Sploosh-o-matic,12,666,2.25,2.57,-0.32,10,-2,,,Enperry Splat Dualies,231,2.47,14,2,,Splattershot Jr.,215,2.14,15,3,,Forge Splattershot Pro,247,2.43,11,-1,,,,,,,,
Luna Blaster,13,642,2.17,2.06,0.11,12,-1,,,Forge Splattershot Pro,193,2.06,11,-2,,Rapid Blaster,209,2.08,17,4,,Splatterscope,208,2.05,18,5,,,,,,,,
Enperry Splat Dualies,14,585,1.98,1.34,0.64,21,7,,,Octobrush,191,2.04,19,5,,Sploosh-o-matic,205,2.04,12,-2,,Hydra Splatling,200,1.97,16,2,,,,,,,,
Splattershot Jr.,15,558,1.89,2.04,-0.15,13,-2,,,Splattershot Jr.,191,2.04,15,0,,Enperry Splat Dualies,193,1.92,14,-1,,Rapid Blaster,186,1.83,17,2,,,,,,,,
Hydra Splatling,16,556,1.88,,,,,,,Luna Blaster,185,1.98,13,-3,,Octobrush,188,1.87,19,3,,Clash Blaster,175,1.72,23,7,,,,,,,,
Rapid Blaster,17,546,1.85,1.71,0.14,15,-2,,,Hydra Splatling,183,1.96,16,-1,,Splatterscope,179,1.78,18,1,,Heavy Splatling,168,1.65,20,3,,,,,,,,
Splatterscope,18,543,1.84,1.9,-0.06,14,-4,,,.52 Gal,163,1.74,21,3,,Hydra Splatling,173,1.72,16,-2,,Enperry Splat Dualies,161,1.58,14,-4,,,,,,,,
Octobrush,19,530,1.79,1.41,0.38,19,0,,,Splatterscope,156,1.67,18,-1,,Heavy Splatling,162,1.61,20,1,,Sploosh-o-matic,156,1.53,12,-7,,,,,,,,
Heavy Splatling,20,485,1.64,2.43,-0.79,11,-9,,,Heavy Splatling,155,1.66,20,0,,Luna Blaster,157,1.56,13,-7,,Splattershot Jr.,152,1.5,15,-5,,,,,,,,
.52 Gal,21,453,1.53,1.54,-0.01,17,-4,,,Rapid Blaster,151,1.61,17,-4,,Custom Splattershot Jr.,145,1.44,33,12,,Octobrush,151,1.49,19,-2,,,,,,,,
Dynamo Roller,22,356,1.2,1.49,-0.29,18,-4,,,Dapple Dualies,119,1.27,24,2,,.52 Gal,141,1.4,21,-1,,Dynamo Roller,150,1.48,22,0,,,,,,,,
Clash Blaster,23,336,1.14,1.4,-0.26,20,-3,,,Custom Jet Squelcher,103,1.1,26,3,,Dynamo Roller,120,1.19,22,-1,,.52 Gal,149,1.47,21,-2,,,,,,,,
Dapple Dualies,24,332,1.12,1.14,-0.02,23,-1,,,Carbon Roller,101,1.08,25,1,,Rapid Blaster Pro,117,1.16,29,5,,Carbon Roller,132,1.3,25,1,,,,,,,,
Carbon Roller,25,314,1.06,1.14,-0.08,24,-1,,,Clash Blaster,96,1.03,23,-2,,Dapple Dualies,117,1.16,24,-1,,Custom Jet Squelcher,111,1.09,26,1,,,,,,,,
Custom Jet Squelcher,26,311,1.05,1.12,-0.07,25,-1,,,.96 Gal,88,0.94,27,1,,Mini Splatling,117,1.16,28,2,,Rapid Blaster Pro,105,1.03,29,3,,,,,,,,
.96 Gal,27,304,1.03,1.07,-0.04,27,0,,,Splat Dualies,87,0.93,36,9,,.96 Gal,115,1.14,27,0,,.96 Gal,101,0.99,27,0,,,,,,,,
Mini Splatling,28,291,0.98,0.86,0.12,33,5,,,Dynamo Roller,86,0.92,22,-6,,Splash-o-matic,110,1.09,31,3,,Slosher,101,0.99,32,4,,,,,,,,
Rapid Blaster Pro,29,287,0.97,0.97,0,29,0,,,Splash-o-matic,84,0.9,31,2,,Gold Dynamo Roller,99,0.99,34,5,,Blaster,98,0.96,37,8,,,,,,,,
Dualie Squelchers,30,272,0.92,1,-0.08,28,-2,,,Dualie Squelchers,83,0.89,30,0,,Custom Jet Squelcher,97,0.97,26,-4,,Dapple Dualies,96,0.94,24,-6,,,,,,,,
Splash-o-matic,31,266,0.9,0.48,0.42,44,13,,,Jet Squelcher,82,0.88,38,7,,E-liter 4K Scope,96,0.96,35,4,,Dualie Squelchers,96,0.94,30,-1,,,,,,,,
Slosher,32,262,0.89,0.89,0,32,0,,,Mini Splatling,79,0.84,28,-4,,Dualie Squelchers,93,0.93,30,-2,,Mini Splatling,95,0.93,28,-4,,,,,,,,
Custom Splattershot Jr.,33,261,0.88,1.1,-0.22,26,-7,,,Inkbrush,72,0.77,39,6,,Slosher,92,0.92,32,-1,,Gold Dynamo Roller,90,0.89,34,1,,,,,,,,
Gold Dynamo Roller,34,251,0.85,0.81,0.04,34,0,,,Slosher,69,0.74,32,-2,,Splat Dualies,85,0.85,36,2,,E-liter 4K Scope,74,0.73,35,1,,,,,,,,
E-liter 4K Scope,35,239,0.81,0.96,-0.15,30,-5,,,E-liter 4K Scope,69,0.74,35,0,,Jet Squelcher,85,0.85,38,3,,Splash-o-matic,72,0.71,31,-4,,,,,,,,
Splat Dualies,36,233,0.79,0.92,-0.13,31,-5,,,Blaster,65,0.69,37,1,,Carbon Roller,81,0.81,25,-11,,Custom Splattershot Jr.,70,0.69,33,-3,,,,,,,,
Blaster,37,222,0.75,0.71,0.04,36,-1,,,Rapid Blaster Pro,65,0.69,29,-8,,Firefin Splatterscope,74,0.74,45,8,,Splat Dualies,61,0.6,36,-1,,,,,,,,
Jet Squelcher,38,219,0.74,0.45,0.29,45,7,,,Gold Dynamo Roller,62,0.66,34,-4,,Clash Blaster,65,0.65,23,-15,,Inkbrush,58,0.57,39,1,,,,,,,,
Inkbrush,39,188,0.64,0.77,-0.13,35,-4,,,L-3 Nozzlenose,48,0.51,42,3,,Firefin Splat Charger,61,0.61,51,12,,Classic Squiffer,57,0.56,41,2,,,,,,,,
H-3 Nozzlenose,40,141,0.48,0.35,0.13,48,8,,,Tenta Brella,47,0.5,44,4,,Aerospray MG,60,0.6,49,9,,Jet Squelcher,52,0.51,38,-2,,,,,,,,
Classic Squiffer,41,141,0.48,0.55,-0.07,41,0,,,Custom Splattershot Jr.,46,0.49,33,-8,,Blaster,59,0.59,37,-4,,Tenta Brella,49,0.48,44,3,,,,,,,,
L-3 Nozzlenose,42,136,0.46,0.6,-0.14,39,-3,,,Classic Squiffer,45,0.48,41,-1,,Inkbrush,58,0.58,39,-3,,H-3 Nozzlenose,47,0.46,40,-2,,,,,,,,
Bamboozler 14 Mk I,43,133,0.45,0.63,-0.18,37,-6,,,Bamboozler 14 Mk I,40,0.43,43,0,,H-3 Nozzlenose,57,0.57,40,-3,,Custom Blaster,46,0.45,50,7,,,,,,,,
Tenta Brella,44,132,0.45,0.49,-0.04,43,-1,,,H-3 Nozzlenose,37,0.4,40,-4,,L-3 Nozzlenose,54,0.54,42,-2,,Bamboozler 14 Mk I,44,0.43,43,-1,,,,,,,,
Firefin Splatterscope,45,118,0.4,0.39,0.01,47,2,,,Krak-On Splat Roller,33,0.35,48,3,,E-liter 4K,51,0.51,47,2,,Heavy Splatling Deco,43,0.42,46,1,,,,,,,,
Heavy Splatling Deco,46,116,0.39,0.63,-0.24,38,-8,,,Aerospray RG,32,0.34,52,6,,Bamboozler 14 Mk I,49,0.49,43,-3,,Krak-On Splat Roller,38,0.37,48,2,,,,,,,,
E-liter 4K,47,110,0.37,0.49,-0.12,42,-5,,,Foil Flingza Roller,31,0.33,53,6,,Aerospray RG,47,0.47,52,5,,E-liter 4K,37,0.36,47,0,,,,,,,,
Krak-On Splat Roller,48,109,0.37,0.39,-0.02,46,-2,,,Custom Blaster,30,0.32,50,2,,Heavy Splatling Deco,46,0.46,46,-2,,L-3 Nozzlenose,34,0.33,42,-6,,,,,,,,
Aerospray MG,49,105,0.36,0.31,0.05,50,1,,,Aerospray MG,27,0.29,49,0,,Classic Squiffer,39,0.39,41,-8,,Foil Flingza Roller,26,0.26,53,4,,,,,,,,
Custom Blaster,50,104,0.35,0.17,0.18,53,3,,,Heavy Splatling Deco,27,0.29,46,-4,,Krak-On Splat Roller,38,0.38,48,-2,,Firefin Splatterscope,25,0.25,45,-5,,,,,,,,
Firefin Splat Charger,51,100,0.34,0.31,0.03,49,-2,,,E-liter 4K,22,0.24,47,-4,,Tenta Brella,36,0.36,44,-7,,Firefin Splat Charger,21,0.21,51,0,,,,,,,,
Aerospray RG,52,97,0.33,0.31,0.02,51,-1,,,Inkbrush Nouveau,20,0.21,54,2,,Custom Blaster,28,0.28,50,-2,,Aerospray RG,18,0.18,52,0,,,,,,,,
Foil Flingza Roller,53,73,0.25,0.56,-0.31,40,-13,,,Firefin Splatterscope,19,0.2,45,-8,,Inkbrush Nouveau,22,0.22,54,1,,Aerospray MG,18,0.18,49,-4,,,,,,,,
Inkbrush Nouveau,54,58,0.2,0.23,-0.03,52,-2,,,Firefin Splat Charger,18,0.19,51,-3,,Flingza Roller,19,0.19,56,2,,Inkbrush Nouveau,16,0.16,54,0,,,,,,,,
Goo Tuber,55,43,0.15,0.16,-0.01,55,0,,,Goo Tuber,17,0.18,55,0,,Foil Flingza Roller,16,0.16,53,-2,,Goo Tuber,15,0.15,55,0,,,,,,,,
Flingza Roller,56,37,0.13,0.17,-0.04,54,-2,,,Flingza Roller,10,0.11,56,0,,Goo Tuber,11,0.11,55,-1,,Custom E-liter 4K Scope,10,0.1,57,1,,,,,,,,
Custom E-liter 4K Scope,57,28,0.09,0.14,-0.05,56,-1,,,Custom E-liter 4K,9,0.1,58,1,,Custom E-liter 4K Scope,10,0.1,57,0,,Custom E-liter 4K,8,0.08,58,1,,,,,,,,
Custom E-liter 4K,58,26,0.09,0.06,0.03,57,-1,,,Custom E-liter 4K Scope,8,0.09,57,-1,,Custom E-liter 4K,9,0.09,58,0,,Flingza Roller,8,0.08,56,-2,,,,,,,,
