All Modes,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff
N-ZAP '85,1,2020,8.53,8.72,-0.18,1,0
Splattershot,2,1591,6.72,7.34,-0.62,2,0
Splat Roller,3,1394,5.89,6.48,-0.59,4,1
Blaster,4,1386,5.85,6.89,-1.03,3,-1
Tentatek Splattershot,5,862,3.64,3.23,0.41,7,2
Enperry Splat Dualies,6,823,3.48,3.75,-0.27,5,-1
Splat Charger,7,728,3.07,3.32,-0.24,6,-1
Slosher Deco,8,694,2.93,2.07,0.86,13,5
Heavy Splatling,9,663,2.80,3.16,-0.36,8,-1
Forge Splattershot Pro,10,640,2.70,2.84,-0.14,9,-1
Dark Tetra Dualies,11,629,2.66,,,,
Splat Brella,12,492,2.08,2.09,-0.01,12,0
Dapple Dualies Nouveau,13,475,2.01,2.31,-0.30,10,-3
.52 Gal Deco,14,458,1.93,1.83,0.11,14,0
Splattershot Jr.,15,451,1.90,2.14,-0.24,11,-4
Sploosh-o-matic,16,407,1.72,1.82,-0.10,15,-1
Range Blaster,17,396,1.67,1.70,-0.03,17,0
Clash Blaster,18,395,1.67,1.13,0.54,27,9
Tri-Slosher,19,383,1.62,1.81,-0.19,16,-3
Dualie Squelchers,20,381,1.61,1.66,-0.05,18,-2
Rapid Blaster,21,350,1.48,1.51,-0.03,20,-1
Carbon Roller,22,348,1.47,1.40,0.07,22,0
N-ZAP '89,23,336,1.42,1.40,0.01,23,0
Splatterscope,24,335,1.41,1.33,0.09,25,1
Octobrush,25,315,1.33,1.08,0.25,33,8
Dapple Dualies,26,311,1.31,1.43,-0.12,21,-5
Sloshing Machine,27,303,1.28,1.33,-0.05,24,-3
Custom Jet Squelcher,28,286,1.21,1.10,0.11,29,1
Sloshing Machine Neo,29,270,1.14,1.57,-0.43,19,-10
Heavy Splatling Deco,30,252,1.06,1.08,-0.02,31,1
Splat Dualies,31,248,1.05,1.08,-0.03,32,1
Splattershot Pro,32,244,1.03,1.11,-0.07,28,-4
Luna Blaster,33,233,0.98,1.09,-0.10,30,-3
Gold Dynamo Roller,34,233,0.98,1.14,-0.16,26,-8
Custom Blaster,35,232,0.98,0.70,0.28,39,4
Octobrush Nouveau,36,229,0.97,0.99,-0.02,35,-1
Inkbrush,37,206,0.87,1.02,-0.15,34,-3
Mini Splatling,38,204,0.86,0.77,0.09,37,-1
.52 Gal,39,203,0.86,0.74,0.12,38,-1
Dynamo Roller,40,190,0.80,0.82,-0.02,36,-4
Hydra Splatling,41,162,0.68,0.53,0.15,45,4
Slosher,42,162,0.68,0.53,0.15,44,2
Bamboozler 14 Mk I,43,149,0.63,0.38,0.25,59,16
Rapid Blaster Deco,44,147,0.62,0.65,-0.03,40,-4
Krak-On Splat Roller,45,144,0.61,0.60,0.01,41,-4
Classic Squiffer,46,136,0.57,0.59,-0.02,42,-4
Aerospray RG,47,132,0.56,0.50,0.06,51,4
Splash-o-matic,48,131,0.55,0.54,0.02,43,-5
E-liter 4K Scope,49,122,0.52,0.53,-0.01,46,-3
Firefin Splat Charger,50,118,0.50,0.51,-0.01,49,-1
Aerospray MG,51,112,0.47,0.40,0.08,57,6
Rapid Blaster Pro,52,107,0.45,0.46,-0.01,52,0
Custom Splattershot Jr.,53,97,0.41,0.44,-0.03,55,2
Inkbrush Nouveau,54,95,0.40,0.36,0.04,60,6
.96 Gal Deco,55,94,0.40,0.44,-0.05,54,-1
L-3 Nozzlenose D,56,94,0.40,0.28,0.11,63,7
Squeezer,57,92,0.39,0.45,-0.06,53,-4
Jet Squelcher,58,89,0.38,0.52,-0.14,47,-11
Tenta Brella,59,83,0.35,0.50,-0.15,50,-9
H-3 Nozzlenose,60,81,0.34,0.52,-0.17,48,-12
.96 Gal,61,79,0.33,0.31,0.02,61,0
L-3 Nozzlenose,62,79,0.33,0.28,0.05,64,2
Firefin Splatterscope,63,74,0.31,0.40,-0.08,58,-5
E-liter 4K,64,72,0.30,0.25,0.06,66,2
Undercover Brella,65,70,0.30,0.29,0.00,62,-3
Custom Goo Tuber,66,56,0.24,0.25,-0.02,65,-1
Custom E-liter 4K Scope,67,54,0.23,0.18,0.05,70,3
Luna Blaster Neo,68,52,0.22,0.43,-0.21,56,-12
Goo Tuber,69,47,0.20,0.19,0.01,69,0
Flingza Roller,70,47,0.20,0.17,0.03,71,1
Foil Flingza Roller,71,43,0.18,0.21,-0.03,68,-3
Custom E-liter 4K,72,30,0.13,0.13,0.00,72,0
Glooga Dualies,73,30,0.13,0.23,-0.10,67,-6
