Weapon Name,Count,Percent
Splattershot,4573,15.98
Splat Roller,1982,6.93
N-ZAP '85,1902,6.65
Range Blaster,1828,6.39
Splat Brella,1668,5.83
Sloshing Machine,1213,4.24
Splattershot Pro,937,3.27
Splat Charger,888,3.1
Tentatek Splattershot,779,2.72
Sploosh-o-matic,733,2.56
Heavy Splatling,683,2.39
Splattershot Jr.,603,2.11
Luna Blaster,592,2.07
Custom Jet Squelcher,535,1.87
Splatterscope,508,1.77
Rapid Blaster,483,1.69
Octobrush,458,1.6
Clash Blaster,455,1.59
.52 Gal,455,1.59
Custom Splattershot Jr.,453,1.58
Forge Splattershot Pro,412,1.44
.96 Gal,399,1.39
Dynamo Roller,379,1.32
Gold Dynamo Roller,364,1.27
Carbon Roller,348,1.22
Dapple Dualies,333,1.16
E-liter 4K Scope,305,1.07
Dualie Squelchers,301,1.05
Enperry Splat Dualies,299,1.04
Splat Dualies,257,0.9
Mini Splatling,255,0.89
Rapid Blaster Pro,251,0.88
Slosher,239,0.84
Tri-Slosher,236,0.82
Inkbrush,231,0.81
Blaster,194,0.68
Bamboozler 14 Mk I,186,0.65
E-liter 4K,170,0.59
Classic Squiffer,167,0.58
L-3 Nozzlenose,166,0.58
Heavy Splatling Deco,145,0.51
Splash-o-matic,144,0.5
Krak-On Splat Roller,140,0.49
Firefin Splatterscope,130,0.45
Jet Squelcher,127,0.44
Firefin Splat Charger,117,0.41
Aerospray RG,117,0.41
Aerospray MG,108,0.38
Tenta Brella,99,0.35
H-3 Nozzlenose,71,0.25
Flingza Roller,62,0.22
Custom E-liter 4K Scope,48,0.17
Goo Tuber,34,0.12
Custom Blaster,33,0.12
Custom E-liter 4K,25,0.09
