All Modes,,,,,,,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,
N-ZAP '85,1,2041,7.71,7.853726277,-0.15,1,0,,* 1) N-ZAP '85 (7.71) -0.15
Splat Roller,2,1706,6.44,6.499768554,-0.06,2,0,,* 2) Splat Roller (6.44) -0.06
Splattershot,3,1418,5.35,5.631846937,-0.28,3,0,,* 3) Splattershot (5.35) -0.28
Blaster,4,1349,5.09,5.261533714,-0.17,4,0,,* 4) Blaster (5.09) -0.17
Enperry Splat Dualies,5,1028,3.88,4.277889215,-0.40,5,0,,* 5) Enperry Splat Dualies (3.88) -0.40
Tentatek Splattershot,6,989,3.73,3.768708533,-0.03,6,0,,* 6) Tentatek Splattershot (3.73) -0.03
Heavy Splatling,7,974,3.68,3.560407345,0.12,8,1,,* 7) Heavy Splatling (3.68) 0.12
Dapple Dualies Nouveau,8,897,3.39,3.583551921,-0.20,7,-1,,* 8) Dapple Dualies Nouveau (3.39) -0.20
Splat Charger,9,803,3.03,3.301959574,-0.27,9,0,,* 9) Splat Charger (3.03) -0.27
Slosher Deco,10,728,2.75,2.788921463,-0.04,10,0,,* 10) Slosher Deco (2.75) -0.04
Forge Splattershot Pro,11,673,2.54,2.41475081,0.13,11,0,,
Clash Blaster Neo,12,559,2.11,2.075297022,0.04,14,2,,
Splattershot Jr.,13,557,2.10,2.187162475,-0.08,12,-1,,
Dualie Squelchers,14,528,1.99,1.801419534,0.19,15,1,,
Range Blaster,15,525,1.98,2.079154451,-0.10,13,-2,,
Tri-Slosher Nouveau,16,505,1.91,,,,,,
Tri-Slosher,17,423,1.60,1.481252893,0.12,19,2,,
Sploosh-o-matic,18,422,1.59,1.681839222,-0.09,17,-1,,
Splatterscope,19,419,1.58,1.562258911,0.02,18,-1,,
.52 Gal Deco,20,405,1.53,1.755130381,-0.23,16,-4,,
Clash Blaster,21,378,1.43,1.473538034,-0.05,20,-1,,
Custom Jet Squelcher,22,372,1.40,1.461965746,-0.06,21,-1,,
Octobrush,23,357,1.35,1.338528005,0.01,23,0,,
Carbon Roller,24,356,1.34,1.350100293,-0.01,22,-2,,
N-ZAP '89,25,343,1.29,1.04150594,0.25,32,7,,
Dapple Dualies,26,335,1.26,1.299953711,-0.04,24,-2,,
Splat Brella,27,323,1.22,1.226662552,-0.01,27,0,,
Rapid Blaster,28,309,1.17,1.253664558,-0.09,25,-3,,
Custom Blaster,29,307,1.16,1.153371393,0.01,28,-1,,
Gold Dynamo Roller,30,286,1.08,1.230519981,-0.15,26,-4,,
Sloshing Machine,31,266,1.00,1.087795093,-0.08,30,-1,,
Splattershot Pro,32,257,0.97,0.9450702052,0.03,33,1,,
Splat Dualies,33,248,0.94,1.130226817,-0.19,29,-4,,
Inkbrush,34,241,0.91,1.04536337,-0.14,31,-3,,
Heavy Splatling Deco,35,232,0.88,0.9026384817,-0.03,34,-1,,
Dynamo Roller,36,221,0.83,0.78305817,0.05,37,1,,
Luna Blaster,37,213,0.80,0.8177750347,-0.01,35,-2,,
Zink Mini Splatling,38,209,0.79,0.7406264465,0.05,39,1,,
Rapid Blaster Deco,39,200,0.76,0.678907576,0.08,41,2,,
Dark Tetra Dualies,40,194,0.73,0.7444838759,-0.01,38,-2,,
.52 Gal,41,189,0.71,0.6711927172,0.04,43,2,,
Sloshing Machine Neo,42,186,0.70,0.7984878877,-0.10,36,-6,,
Classic Squiffer,43,180,0.68,0.5824718408,0.10,47,4,,
Octobrush Nouveau,44,177,0.67,0.7174818701,-0.05,40,-4,,
Splash-o-matic,45,170,0.64,0.6364758525,0.01,44,-1,,
Krak-On Splat Roller,46,161,0.61,0.5554698349,0.05,48,2,,
H-3 Nozzlenose D,47,160,0.60,0.594044129,0.01,45,-2,,
Hydra Splatling,48,151,0.57,0.5554698349,0.01,49,1,,
Sorella Brella,49,151,0.57,0.678907576,-0.11,42,-7,,
Rapid Blaster Pro,50,138,0.52,0.5863292702,-0.07,46,-4,,
Bamboozler 14 Mk I,51,138,0.52,0.5207529702,0.00,50,-1,,
Tenta Brella,52,131,0.49,0.4320320938,0.06,54,2,,
Custom Splattershot Jr.,53,128,0.48,0.4783212467,0.00,52,-1,,
Slosher,54,123,0.46,0.4474618114,0.02,53,-1,,
E-liter 4K Scope,55,116,0.44,0.509180682,-0.07,51,-4,,
Jet Squelcher,56,115,0.43,0.2970220645,0.14,61,5,,
Mini Splatling,57,113,0.43,0.424317235,0.00,55,-2,,
E-liter 4K,58,112,0.42,0.4166023762,0.01,56,-2,,
Aerospray RG,59,109,0.41,0.3934577997,0.02,58,-1,,
Aerospray MG,60,105,0.40,0.3625983644,0.03,59,-1,,
Firefin Splat Charger,61,101,0.38,0.4166023762,-0.04,57,-4,,
Inkbrush Nouveau,62,82,0.31,0.3471686468,-0.04,60,-2,,
Foil Flingza Roller,63,78,0.29,0.1620120352,0.13,72,9,,
.96 Gal,64,74,0.28,0.2623051998,0.02,64,0,,
Undercover Brella,65,64,0.24,0.2584477704,-0.02,66,1,,
Firefin Splatterscope,66,63,0.24,0.2777349175,-0.04,62,-4,,
Glooga Dualies,67,61,0.23,0.2700200586,-0.04,63,-4,,
.96 Gal Deco,68,60,0.23,0.254590341,-0.03,67,-1,,
Squeezer,69,57,0.22,0.2160160469,0.00,70,1,,
L-3 Nozzlenose D,70,55,0.21,0.2584477704,-0.05,65,-5,,
Flingza Roller,71,53,0.20,0.1311525999,0.07,74,3,,
Neo Sploosh-o-matic,72,52,0.20,0.2198734763,-0.02,69,-3,,
Custom Goo Tuber,73,51,0.19,0.1812991822,0.01,71,-2,,
L-3 Nozzlenose,74,41,0.15,0.2237309057,-0.07,68,-6,,
Goo Tuber,75,37,0.14,0.1272951705,0.01,75,0,,
Custom E-liter 4K,76,32,0.12,0.1465823175,-0.03,73,-3,,
