,,,,,Totals do not add up: Missing some league schedule data so cannot identify game mode for 11/19 18:00 - 11/20 14:00 (UTC),,,,,,,,,,,,,,,,,,
All Modes,,,,,Rainmaker,,,,Splat Zones,,,,Tower Control,,,,,,,,,,
Weapon Name,Rank,Count,Percent,,Weapon Name,Count,Percent,,Weapon Name,Count,Percent,,Weapon Name,Count,Percent,,Special,Count,Pct,,Sub,Count,Pct
Splattershot,1,4238,14.62,,Splattershot,1209,14.72,,Splattershot,1267,14.8,,Splattershot,1203,14.17,,Splashdown,7523,25.96,,Burst Bomb,5423,18.71
Splat Roller,2,2064,7.12,,Splat Roller,661,8.05,,Splat Brella,676,7.9,,Splat Roller,641,7.55,,Ink Storm,5854,20.2,,Suction Bomb,4865,16.79
N-ZAP '85,3,2008,6.93,,N-ZAP '85,572,6.97,,Range Blaster,586,6.85,,Range Blaster,615,7.24,,Sting Ray,4788,16.52,,Splat Bomb,4634,15.99
Range Blaster,4,1836,6.34,,Range Blaster,432,5.26,,N-ZAP '85,560,6.54,,N-ZAP '85,593,6.98,,Ink Armor,3647,12.58,,Curling Bomb,3556,12.27
Splat Brella,5,1782,6.15,,Splat Brella,398,4.85,,Splat Roller,478,5.58,,Sloshing Machine,513,6.04,,Inkjet,2024,6.98,,Sprinkler,2885,9.96
Sloshing Machine,6,1380,4.76,,Sloshing Machine,369,4.49,,Sloshing Machine,341,3.98,,Splat Brella,503,5.92,,Tenta Missiles,1640,5.66,,Autobomb,2484,8.57
Tentatek Splattershot,7,1039,3.59,,Sploosh-o-matic,359,4.37,,Splattershot Pro,313,3.66,,Splat Charger,335,3.94,,Baller,1488,5.13,,Point Sensor,1880,6.49
Splat Charger,8,989,3.41,,Tentatek Splattershot,351,4.27,,Splat Charger,300,3.5,,Tentatek Splattershot,310,3.65,,Bubble Blower,848,2.93,,Ink Mine,1417,4.89
Splattershot Pro,9,885,3.05,,Splat Charger,255,3.11,,Tentatek Splattershot,280,3.27,,Luna Blaster,245,2.89,,Splat-Bomb Launcher,543,1.87,,Toxic Mist,757,2.61
Sploosh-o-matic,10,746,2.57,,Splattershot Pro,213,2.59,,Heavy Splatling,214,2.5,,Splattershot Pro,207,2.44,,Suction-Bomb Launcher,535,1.85,,Squid Beakon,645,2.23
Heavy Splatling,11,705,2.43,,Heavy Splatling,205,2.5,,Splattershot Jr.,193,2.25,,Heavy Splatling,201,2.37,,Curling-Bomb Launcher,90,0.31,,Splash Wall,434,1.5
Luna Blaster,12,598,2.06,,Luna Blaster,173,2.11,,Rapid Blaster,158,1.85,,Clash Blaster,195,2.3,,,,,,,,
Splattershot Jr.,13,592,2.04,,Splattershot Jr.,164,2,,Dynamo Roller,148,1.73,,Splatterscope,180,2.12,,,,,,,,
Splatterscope,14,551,1.9,,.52 Gal,158,1.92,,Sploosh-o-matic,147,1.72,,Splattershot Jr.,167,1.97,,,,,,,,
Rapid Blaster,15,495,1.71,,Splatterscope,155,1.89,,Splatterscope,140,1.64,,Rapid Blaster,148,1.74,,,,,,,,
Forge Splattershot Pro,16,466,1.61,,Rapid Blaster,139,1.69,,Custom Splattershot Jr.,139,1.62,,Forge Splattershot Pro,132,1.55,,,,,,,,
.52 Gal,17,445,1.54,,Dapple Dualies,132,1.61,,Forge Splattershot Pro,137,1.6,,Dynamo Roller,129,1.52,,,,,,,,
Dynamo Roller,18,432,1.49,,Forge Splattershot Pro,132,1.61,,Enperry Splat Dualies,122,1.43,,Sploosh-o-matic,126,1.48,,,,,,,,
Octobrush,19,408,1.41,,Enperry Splat Dualies,128,1.56,,Luna Blaster,119,1.39,,.52 Gal,122,1.44,,,,,,,,
Clash Blaster,20,406,1.4,,Octobrush,120,1.46,,Octobrush,111,1.3,,Carbon Roller,109,1.28,,,,,,,,
Enperry Splat Dualies,21,388,1.34,,Tri-Slosher,114,1.39,,Rapid Blaster Pro,109,1.27,,Octobrush,108,1.27,,,,,,,,
Tri-Slosher,22,344,1.19,,Clash Blaster,106,1.29,,.52 Gal,104,1.21,,Tri-Slosher,105,1.24,,,,,,,,
Dapple Dualies,23,331,1.14,,Dynamo Roller,105,1.28,,E-liter 4K Scope,104,1.21,,Custom Jet Squelcher,99,1.17,,,,,,,,
Carbon Roller,24,329,1.14,,Custom Jet Squelcher,100,1.22,,.96 Gal,101,1.18,,Rapid Blaster Pro,98,1.15,,,,,,,,
Custom Jet Squelcher,25,325,1.12,,Carbon Roller,88,1.07,,Gold Dynamo Roller,99,1.16,,Enperry Splat Dualies,94,1.11,,,,,,,,
Custom Splattershot Jr.,26,318,1.1,,.96 Gal,80,0.97,,Dualie Squelchers,97,1.13,,.96 Gal,84,0.99,,,,,,,,
.96 Gal,27,309,1.07,,Splat Dualies,76,0.93,,Tri-Slosher,93,1.09,,Slosher,82,0.97,,,,,,,,
Dualie Squelchers,28,290,1,,Inkbrush,76,0.93,,Custom Jet Squelcher,93,1.09,,E-liter 4K Scope,80,0.94,,,,,,,,
Rapid Blaster Pro,29,282,0.97,,Slosher,74,0.9,,Mini Splatling,92,1.07,,Dualie Squelchers,76,0.89,,,,,,,,
E-liter 4K Scope,30,279,0.96,,Dualie Squelchers,67,0.82,,Splat Dualies,89,1.04,,Custom Splattershot Jr.,66,0.78,,,,,,,,
Splat Dualies,31,268,0.92,,Mini Splatling,66,0.8,,Dapple Dualies,84,0.98,,Dapple Dualies,64,0.75,,,,,,,,
Slosher,32,257,0.89,,Blaster,65,0.79,,Carbon Roller,79,0.92,,Blaster,63,0.74,,,,,,,,
Mini Splatling,33,248,0.86,,E-liter 4K Scope,65,0.79,,Slosher,73,0.85,,Mini Splatling,62,0.73,,,,,,,,
Gold Dynamo Roller,34,236,0.81,,Bamboozler 14 Mk I,60,0.73,,Heavy Splatling Deco,73,0.85,,Gold Dynamo Roller,62,0.73,,,,,,,,
