All Modes,,,,,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,3504,12.17,7.76,4.41,2,1,,* 1) N-ZAP '85 (12.17) 4.41,N-ZAP '85,1145,11.91,1,0,,N-ZAP '85,1258,12.85,1,0,,N-ZAP '85,1101,11.72,1,0,,Splashdown,6320,21.95,,Suction Bomb,6174,21.44,,N-ZAP '85,2397,13.08,1,0
Splattershot,2,2707,9.4,9.41,-0.01,1,-1,,* 2) Splattershot (9.4) -0.00999999999999979,Splattershot,975,10.14,2,0,,Splattershot,862,8.81,2,0,,Splattershot,870,9.26,2,0,,Ink Armor,5513,19.15,,Splat Bomb,4867,16.9,,Splattershot,1649,9,2,0
Splat Roller,3,2186,7.59,7.42,0.17,3,0,,* 3) Splat Roller (7.59) 0.17,Splat Roller,803,8.35,3,0,,Splat Brella,640,6.54,5,2,,Splat Roller,774,8.24,3,0,,Ink Storm,4901,17.02,,Burst Bomb,4107,14.26,,Splat Roller,1305,7.12,3,0
Range Blaster,4,1559,5.41,5.77,-0.36,5,1,,* 4) Range Blaster (5.41) -0.359999999999999,Tentatek Splattershot,600,6.24,6,2,,Splat Roller,609,6.22,3,-1,,Range Blaster,575,6.12,4,0,,Sting Ray,4094,14.22,,Curling Bomb,3620,12.57,,Range Blaster,1145,6.25,4,0
Splat Brella,5,1522,5.29,5.7,-0.41,6,1,,* 5) Splat Brella (5.29) -0.41,Range Blaster,442,4.6,4,-1,,Range Blaster,542,5.54,4,-1,,Sloshing Machine,484,5.15,7,2,,Inkjet,3065,10.64,,Autobomb,2516,8.74,,Splat Brella,1137,6.2,5,0
Tentatek Splattershot,6,1470,5.1,6.54,-1.44,4,-2,,* 6) Tentatek Splattershot (5.1) -1.44,Sloshing Machine,427,4.44,7,1,,Tentatek Splattershot,427,4.36,6,0,,Splat Brella,461,4.91,5,-1,,Tenta Missiles,1439,5,,Sprinkler,2434,8.45,,Tentatek Splattershot,1046,5.71,6,0
Sloshing Machine,7,1206,4.19,4,0.19,7,0,,* 7) Sloshing Machine (4.19) 0.19,Splat Brella,421,4.38,5,-2,,Splat Charger,303,3.1,8,1,,Tentatek Splattershot,443,4.71,6,-1,,Baller,1339,4.65,,Point Sensor,1608,5.58,,Sloshing Machine,913,4.98,7,0
Splat Charger,8,1024,3.56,3.41,0.15,8,0,,* 8) Splat Charger (3.56) 0.15,Sploosh-o-matic,367,3.82,10,2,,Splattershot Pro,298,3.04,11,3,,Splat Charger,373,3.97,8,0,,Bubble Blower,1019,3.54,,Ink Mine,1535,5.33,,Splat Charger,701,3.82,8,0
Tri-Slosher,9,751,2.61,3.15,-0.54,9,0,,* 9) Tri-Slosher (2.61) -0.54,Splat Charger,348,3.62,8,-1,,Sloshing Machine,295,3.01,7,-2,,Luna Blaster,229,2.44,13,4,,Splat-Bomb Launcher,536,1.86,,Toxic Mist,945,3.28,,Tri-Slosher,467,2.55,9,0
Sploosh-o-matic,10,715,2.48,2.25,0.23,12,2,,* 10) Sploosh-o-matic (2.48) 0.23,Tri-Slosher,233,2.42,9,-1,,Tri-Slosher,293,2.99,9,-1,,Tri-Slosher,225,2.39,9,-1,,Suction-Bomb Launcher,493,1.71,,Squid Beakon,626,2.17,,Forge Splattershot Pro,463,2.53,12,2
