All Modes,,,,,,,,,,Clam Blitz,,,,,,Rainmaker,,,,,,Splat Zones,,,,,,Tower Control,,,,,,Special,,,,Sub,,,,All Modes (Min League Power of 2000),,,,
Weapon Name,Rank,Count,Pct,Previous Pct,Pct Diff,Previous Rank,Rank Diff,,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Weapon Name,Count,Pct,,Diff,,Name,Count,Pct,,Name,Count,Pct,,Weapon Name,Count,Pct,,Diff
N-ZAP '85,1,3797,12.9,13.69,-0.79,1,0,,* 1) N-ZAP '85 (12.9) -0.789999999999999,N-ZAP '85,943,13.23,1,0,,N-ZAP '85,946,11.63,1,0,,N-ZAP '85,1234,13.87,1,0,,N-ZAP '85,674,12.77,1,0,,Splashdown,7102,24.13,,Suction Bomb,6623,22.5,,N-ZAP '85,2478,14.08,1,0
Splattershot,2,2611,8.87,8.52,0.35,2,0,,* 2) Splattershot (8.87) 0.35,Splat Roller,596,8.36,3,1,,Splat Roller,774,9.52,3,1,,Splattershot,796,8.94,2,0,,Splattershot,522,9.89,2,0,,Ink Armor,5831,19.81,,Splat Bomb,4541,15.43,,Splattershot,1564,8.89,2,0
Splat Roller,3,2360,8.02,7.66,0.36,3,0,,* 3) Splat Roller (8.02) 0.359999999999999,Forge Splattershot Pro,595,8.35,4,1,,Splattershot,749,9.21,2,-1,,Splat Roller,568,6.38,3,0,,Splat Roller,422,8,3,0,,Sting Ray,3762,12.78,,Burst Bomb,4058,13.79,,Splat Roller,1314,7.47,3,0
Forge Splattershot Pro,4,1481,5.03,3.61,1.42,6,2,,* 4) Forge Splattershot Pro (5.03) 1.42,Splattershot,544,7.63,2,-2,,Tentatek Splattershot,440,5.41,5,1,,Forge Splattershot Pro,423,4.75,4,0,,Tentatek Splattershot,231,4.38,5,1,,Ink Storm,3019,10.26,,Curling Bomb,3892,13.22,,Forge Splattershot Pro,944,5.36,4,0
Tentatek Splattershot,5,1382,4.69,4.45,0.24,4,-1,,* 5) Tentatek Splattershot (4.69) 0.24,Tentatek Splattershot,296,4.15,5,0,,Sploosh-o-matic,307,3.78,11,6,,Tentatek Splattershot,415,4.66,5,0,,Blaster,224,4.25,6,1,,Inkjet,2947,10.01,,Autobomb,2873,9.76,,Tentatek Splattershot,924,5.25,5,0
Blaster,6,970,3.3,1.78,1.52,17,11,,* 6) Blaster (3.3) 1.52,Tri-Slosher,228,3.2,10,4,,Forge Splattershot Pro,307,3.78,4,-2,,Range Blaster,349,3.92,7,1,,Sloshing Machine,215,4.08,8,2,,Bubble Blower,1943,6.6,,Sprinkler,1720,5.84,,Blaster,687,3.9,6,0
Range Blaster,7,953,3.24,3.96,-0.72,5,-2,,* 7) Range Blaster (3.24) -0.72,Blaster,202,2.83,6,-1,,Splat Charger,300,3.69,9,2,,Blaster,284,3.19,6,-1,,Splat Charger,213,4.04,9,2,,Tenta Missiles,1856,6.31,,Toxic Mist,1500,5.1,,Sloshing Machine,677,3.85,8,1
Sloshing Machine,8,921,3.13,3.34,-0.21,7,-1,,* 8) Sloshing Machine (3.13) -0.21,Sploosh-o-matic,186,2.61,11,3,,Sloshing Machine,267,3.28,8,0,,Splat Charger,282,3.17,9,1,,Range Blaster,193,3.66,7,-1,,Baller,1683,5.72,,Point Sensor,1372,4.66,,Range Blaster,663,3.77,7,-1
Splat Charger,9,913,3.1,3.19,-0.09,9,0,,* 9) Splat Charger (3.1) -0.0899999999999999,Inkbrush,182,2.55,27,18,,Blaster,260,3.2,6,-3,,Sloshing Machine,278,3.12,8,-1,,Forge Splattershot Pro,156,2.96,4,-5,,Suction-Bomb Launcher,615,2.09,,Ink Mine,1185,4.03,,Splat Charger,588,3.34,9,0
Tri-Slosher,10,832,2.83,2.47,0.36,12,2,,* 10) Tri-Slosher (2.83) 0.36,Octobrush,178,2.5,14,4,,Range Blaster,257,3.16,7,-3,,Tri-Slosher,271,3.04,10,0,,Luna Blaster,149,2.82,17,7,,Splat-Bomb Launcher,542,1.84,,Splash Wall,973,3.31,,Tri-Slosher,521,2.96,10,0
Sploosh-o-matic,11,698,2.37,2.53,-0.16,11,0,,,N-ZAP '89,166,2.33,13,2,,Tri-Slosher,204,2.51,10,-1,,Splat Brella,248,2.79,12,1,,Tri-Slosher,129,2.45,10,-1,,Curling-Bomb Launcher,136,0.46,,Squid Beakon,699,2.37,,Splat Brella,442,2.51,12,1
Splat Brella,12,649,2.2,3.12,-0.92,10,-2,,,Sloshing Machine,161,2.26,8,-4,,Squeezer,194,2.39,21,9,,Rapid Blaster,208,2.34,18,6,,Splat Brella,128,2.43,12,0,,,,,,,,,,Rapid Blaster,370,2.1,18,6
N-ZAP '89,13,575,1.95,3.23,-1.28,8,-5,,,Range Blaster,154,2.16,7,-6,,Enperry Splat Dualies,175,2.15,15,2,,Splattershot Jr.,175,1.97,16,3,,Splatterscope,101,1.91,20,7,,,,,,,,,,Enperry Splat Dualies,323,1.84,15,2
Octobrush,14,540,1.83,1.71,0.12,18,4,,,Enperry Splat Dualies,148,2.08,15,1,,Splatterscope,155,1.91,20,6,,N-ZAP '89,168,1.89,13,-1,,N-ZAP '89,93,1.76,13,-1,,,,,,,,,,Sploosh-o-matic,316,1.8,11,-3
Enperry Splat Dualies,15,529,1.8,1.8,0,16,1,,,Splat Brella,121,1.7,12,-3,,Splat Brella,152,1.87,12,-3,,Splattershot Pro,163,1.83,19,4,,Splattershot Jr.,89,1.69,16,1,,,,,,,,,,Luna Blaster,311,1.77,17,2
Splattershot Jr.,16,525,1.78,1.6,0.18,20,4,,,Rapid Blaster,120,1.68,18,2,,N-ZAP '89,148,1.82,13,-3,,Enperry Splat Dualies,149,1.67,15,-1,,Clash Blaster,89,1.69,30,14,,,,,,,,,,Squeezer,294,1.67,21,5
Luna Blaster,17,513,1.74,1.93,-0.19,14,-3,,,Splattershot Jr.,119,1.67,16,-1,,Splattershot Jr.,142,1.75,16,-1,,Octobrush,148,1.66,14,-3,,Splattershot Pro,89,1.69,19,2,,,,,,,,,,Splattershot Jr.,282,1.6,16,-1
Rapid Blaster,18,512,1.74,1.88,-0.14,15,-3,,,Splat Charger,118,1.66,9,-9,,Octobrush,141,1.73,14,-4,,Splatterscope,141,1.58,20,2,,Heavy Splatling,86,1.63,23,5,,,,,,,,,,Heavy Splatling,255,1.45,23,5
Splattershot Pro,19,473,1.61,2.02,-0.41,13,-6,,,Luna Blaster,112,1.57,17,-2,,Splattershot Pro,130,1.6,19,0,,Sploosh-o-matic,128,1.44,11,-8,,Rapid Blaster,86,1.63,18,-1,,,,,,,,,,Splatterscope,247,1.4,20,1
Splatterscope,20,438,1.49,1.64,-0.15,19,-1,,,Heavy Splatling Deco,106,1.49,33,13,,Luna Blaster,125,1.54,17,-3,,Heavy Splatling,127,1.43,23,3,,Sploosh-o-matic,77,1.46,11,-9,,,,,,,,,,Octobrush,235,1.34,14,-6
Squeezer,21,422,1.43,,,,,,,.52 Gal,105,1.47,22,1,,.52 Gal,117,1.44,22,1,,Luna Blaster,127,1.43,17,-4,,Carbon Roller,74,1.4,24,3,,,,,,,,,,Splattershot Pro,234,1.33,19,-2
.52 Gal,22,392,1.33,1.21,0.12,23,1,,,Dapple Dualies,97,1.36,26,4,,Heavy Splatling,116,1.43,23,1,,Squeezer,123,1.38,21,-1,,Octobrush,73,1.38,14,-8,,,,,,,,,,.96 Gal,229,1.3,25,3
Heavy Splatling,23,377,1.28,1.44,-0.16,21,-2,,,Splattershot Pro,91,1.28,19,-4,,Carbon Roller,112,1.38,24,1,,.96 Gal,118,1.33,25,2,,Squeezer,63,1.19,21,-2,,,,,,,,,,N-ZAP '89,222,1.26,13,-10
Carbon Roller,24,353,1.2,1.04,0.16,24,0,,,Carbon Roller,90,1.26,24,0,,Dapple Dualies,103,1.27,26,2,,.52 Gal,115,1.29,22,-2,,Dynamo Roller,62,1.18,32,8,,,,,,,,,,Carbon Roller,201,1.14,24,0
.96 Gal,25,331,1.12,1.22,-0.1,22,-3,,,Tenta Brella,84,1.18,44,19,,Rapid Blaster,98,1.21,18,-7,,Custom Blaster,98,1.1,31,6,,Enperry Splat Dualies,57,1.08,15,-10,,,,,,,,,,Slosher Deco,200,1.14,28,3
Dapple Dualies,26,326,1.11,0.95,0.16,27,1,,,Inkbrush Nouveau,81,1.14,52,26,,.96 Gal,83,1.02,25,-1,,Firefin Splat Charger,95,1.07,41,15,,.52 Gal,55,1.04,22,-4,,,,,,,,,,.52 Gal,200,1.14,22,-4
